ASM_ACCESSION,NCBI_TAXID,SPECIES_IN,STRAIN,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,Date,Genome_coverage,Assembly_method,Sequencing_technology,Assembly_type,Assembly_level,scaffold_N50,scaffold_count,total_length,gene_count,gene_length_mean,exon_count,exon_length_mean,CDS_count,CDS_length_mean,intron_count,intron_length_mean
GCA_019059555.1_ASM1905955v1,160389,Alternaria longipes,CBS 540.94,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria longipes,2021-06-29,642.0x,nextdenovo v. sep-2020,Oxford Nanopore,haploid,Chromosome,3599223,15,39426105,0,0,0,0,0,0,0,0
GCA_002796735.1_ASM279673v1,29001,Alternaria brassicicola,Abra43,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria brassicicola,2017-11-27,120.0x,HGAP v. 3,PacBio,haploid,Contig,,,31036461,0,0,0,0,0,0,0,0
GCA_019670975.1_ASM1967097v1,1176733,Acidiella bohemica,SYSU C17045,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Teratosphaeriaceae,Acidiella,Acidiella bohemica,2021-08-18,150.0x,FALCON v. 2018; FALCON-Unzip v. 2018,Illumina MiSeq; PacBio Sequel,haploid,Contig,,,26833561,0,0,0,0,0,0,0,0
GCA_001983385.1_ASM198338v1,67723,Amanita phalloides,Alameda01,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita phalloides,2017-02-02,39.0x,Velvet v. 1.2.10,Illumina HiSeq,haploid,Scaffold,54288,1465,40385187,0,0,0,0,0,0,0,0
GCA_001430935.1_ASM143093v1,113399,Amauroascus mutatus,UAMH 3576,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Onygenales,Onygenaceae,Amauroascus,Amauroascus mutatus,2015-11-03,50.0x,SOAPdenovo v. DEC-2010,Illumina HiSeq,haploid,Scaffold,217754,3075,30376016,0,0,0,0,0,0,0,0
GCA_001950455.1_JCM_1940_assembly_v001,230004,Alternaria consortialis,JCM 1940,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria consortialis,2016-12-09,233x,ALLPATHS-LG v. 52488,HiSeq 2500,haploid,Scaffold,2769894,23,34240857,0,0,0,0,0,0,0,0
GCA_009733775.1_ASM973377v1,111643,Alectoria sarmentosa,MAF-Lich 21536,Ascomycota,Pezizomycotina,Lecanoromycetes,Lecanoromycetidae,Lecanorales,Parmeliaceae,Alectoria,Alectoria sarmentosa,2019-12-06,54.0x,SPAdes v. 3.9.0,Illumina MiSeq,haploid,Scaffold,93085,915,39958285,0,0,0,0,0,0,0,0
GCA_002778035.1_ASM277803v1,44383,Ambrosiella xylebori,CBS 110.61,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Microascales,Ceratocystidaceae,Ambrosiella,Ambrosiella xylebori,2017-11-16,141x,AllPaths v. 48777,Illumina HiSeq,haploid,Scaffold,1859748,39,27201902,0,0,0,0,0,0,0,0
GCA_001599635.1_JCM_22485_assembly_v001,64647,Actinomucor elegans,JCM 22485,Mucoromycota,Mucoromycotina,Mucoromycetes,,Mucorales,Mucoraceae,Actinomucor,Actinomucor elegans,2016-03-01,317x,ALLPATHS-LG v. 52488,HiSeq 2500,haploid,Scaffold,748976,192,34171183,0,0,0,0,0,0,0,0
GCA_013376435.1_ASM1337643v1,64608,Agrocybe cylindracea,AC9,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Bolbitiaceae,Agrocybe,Agrocybe cylindracea,2020-06-29,161.5x,Platanus v. 1.2.1,Illumina HiSeq; PacBio,haploid,Scaffold,547283,3790,56488834,0,0,0,0,0,0,0,0
GCA_020011035.1_ASM2001103v1,67733,Amanita subjunquillea,LH00001,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita subjunquillea,2021-09-16,80x,Celera Assembler v. 8.3,PacBio RSII,haploid,Scaffold,838703,119,53204488,0,0,0,0,0,0,0,0
GCA_000497225.1_AmaJack1.0,87329,AmanitajacksoniiTRTC168611,,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita jacksonii,2013-11-18,100.0x,Ray v. 1.7,Illumina HiSeq; 454,haploid,Scaffold,25739,4516,30856360,0,0,0,0,0,0,0,0
GCA_001430945.1_ASM143094v1,89421,Amauroascus niger,UAMH 3544,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Onygenales,Onygenaceae,Amauroascus,Amauroascus niger,2015-11-03,50.0x,SOAPdenovo v. DEC-2010,Illumina HiSeq,haploid,Scaffold,98932,3481,36718296,0,0,0,0,0,0,0,0
GCA_003705185.1_ASM370518v1,53487,Ambrosiozyma ambrosiae,NRRL Y-7524,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,,Ambrosiozyma,Ambrosiozyma ambrosiae,2018-10-31,57x,DISCOVAR v. r51885,Illumina HiSeq 2500,haploid,Scaffold,366569,183,14868748,0,0,0,0,0,0,0,0
GCA_001600815.1_JCM_7604_assembly_v001,54196,Alloascoidea hylecoeti,JCM 7604,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Alloascoideaceae,Alloascoidea,Alloascoidea hylecoeti,2016-03-01,139x,ALLPATHS-LG v. 52488,HiSeq 2500,haploid,Scaffold,949999,136,24815695,0,0,0,0,0,0,0,0
GCA_001599075.1_JCM_15019_assembly_v001,489715,Ambrosiozyma kashinagicola,JCM 15019,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,,Ambrosiozyma,Ambrosiozyma kashinagicola,2016-03-01,227x,ALLPATHS-LG v. 52488,HiSeq 2500,haploid,Scaffold,1369417,23,12320962,0,0,0,0,0,0,0,0
GCA_003706315.2_ASM370631v2,1382206,Ambrosiozyma oregonensis (nom. inval.),NRRL Y-6106,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,,Ambrosiozyma,Ambrosiozyma oregonensis (nom. inval.),2018-11-20,241x,SPADES v. 3.7,Illumina HiSeq 2500,haploid,Scaffold,291584,819,15332403,0,0,0,0,0,0,0,0
GCA_003707895.2_ASM370789v2,489716,Ambrosiozyma pseudovanderkliftii,NRRL Y-63632,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,,Ambrosiozyma,Ambrosiozyma pseudovanderkliftii,2018-11-20,169x,SPADES v. 3.7,Illumina HiSeq 2500,haploid,Scaffold,239702,297,14436013,0,0,0,0,0,0,0,0
GCA_017139545.1_ASM1713954v1,1906498,Ambrosiella cleistominuta,CBS 141682,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Microascales,Ceratocystidaceae,Ambrosiella,Ambrosiella cleistominuta,2021-03-02,38.0x,SPAdes v. 3.14.0,IonTorrent; Illumina HiSeq,haploid,Scaffold,108394,1284,27084340,0,0,0,0,0,0,0,0
GCA_017499575.1_ASM1749957v1,483017,Amauroderma rugosum,ACCC 51706,Basidiomycota,Agaricomycotina,Agaricomycetes,,Polyporales,Polyporaceae,Amauroderma,Amauroderma rugosum,2021-03-22,256.0x,Canu v. 1.8; Mecat v. 1.0,Illumina HiSeq; PacBio Sequel,haploid,Contig,,,40655687,0,0,0,0,0,0,0,0
GCA_003707675.2_ASM370767v2,43984,Ambrosiozyma philentoma,NRRL Y-7523,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,,Ambrosiozyma,Ambrosiozyma philentoma,2018-11-20,137x,SPADES v. 3.7,Illumina HiSeq 2500,haploid,Scaffold,547646,385,17688425,0,0,0,0,0,0,0,0
GCA_002718315.1_ASM271831v1,2607230,Agaricales sp. HM26-F1,HM26-F1,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,,,Agaricales sp. HM26-F1,2017-10-25,380.0x,SPAdes v. 3.5.0,PacBio; Illumina HiSeq,haploid,Scaffold,1023127,178,32238363,0,0,0,0,0,0,0,0
GCA_003316615.1_ASM331661v1,67725,Amanita pseudoporphyria,MG37,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita pseudoporphyria,2018-07-13,90x,platanus version v. 1.2.1,Complete Genomics,haploid,Scaffold,7168,17345,52485497,0,0,0,0,0,0,0,0
GCA_003705225.1_ASM370522v1,489717,Ambrosiozyma vanderkliftii,NRRL Y-63633,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,,Ambrosiozyma,Ambrosiozyma vanderkliftii,2018-10-31,160x,DISCOVAR v. r51885,Illumina HiSeq 2500,haploid,Scaffold,108524,4756,15620410,0,0,0,0,0,0,0,0
GCA_004802645.1_ASM480264v1,1934353,Amesia nigricolor,F5,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Sordariales,Chaetomiaceae,Amesia,Amesia nigricolor,2019-04-22,336.0x,HGAP v. 2.3,PacBio; Illumina HiSeq,haploid,Contig,,,31024310,0,0,0,0,0,0,0,0
GCA_018985225.1_ASM1898522v1,2109901,Amoeboradix gromovi,X-113,,,,,,Sanchytriaceae,Amoeboradix,Amoeboradix gromovi,2021-06-21,123.9x,SPAdes v. 3.11.0,Illumina HiSeq,haploid,Contig,,,10549678,0,0,0,0,0,0,0,0
GCA_004123355.1_ASM412335v1,743113,Amphirosellinia nigrospora,JS-1675,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Xylariaceae,Amphirosellinia,Amphirosellinia nigrospora,2019-01-31,347.67x,FALCON v. 0.2JASM; SOAPdenovo v. 2.04,PacBio Sequel; Illumina HiSeq,haploid,Scaffold,11779755,18,48177783,0,0,0,0,0,0,0,0
GCA_012932865.1_ASM1293286v1,103385,Amylostereum areolatum,HG-01,Basidiomycota,Agaricomycotina,Agaricomycetes,,Russulales,Stereaceae,Amylostereum,Amylostereum areolatum,2020-04-29,200.0x,Celera Assembler v. 8.3,PacBio Sequel,haploid,Scaffold,731813,248,57567124,0,0,0,0,0,0,0,0
GCA_010623925.1_ASM1062392v1,1955577,Antarctomyces pellizariae,UFMG-CB-12416,Ascomycota,Pezizomycotina,Leotiomycetes,,Thelebolales,Thelebolaceae,Antarctomyces,Antarctomyces pellizariae,2020-02-14,82.0x,SPAdes v. 3.10.1,Illumina HiSeq,haploid,Contig,,,24217994,0,0,0,0,0,0,0,0
GCA_018398575.1_ASM1839857v1,50730,Ampelomyces quisqualis,BRIP 72107,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Leptosphaeriaceae,Ampelomyces,Ampelomyces quisqualis,2021-05-19,300.0x,MaSuRCA v. 3.3.3,Illumina MiSeq; Oxford Nanopore MinION,haploid,Scaffold,2994887,24,40378121,0,0,0,0,0,0,0,0
GCA_001599995.1_JCM_7599_assembly_v001,43982,Ambrosiozyma monospora,JCM 7599,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,,Ambrosiozyma,Ambrosiozyma monospora,2016-03-01,116x,ALLPATHS-LG v. 52488,HiSeq 2500,haploid,Scaffold,679229,118,24978438,0,0,0,0,0,0,0,0
GCA_003314315.1_ASM331431v1,326628,Annulohypoxylon stygium,MG137,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Hypoxylaceae,Annulohypoxylon,Annulohypoxylon stygium,2018-07-11,117x,platanus version v. 1.2.1,Complete Genomics,haploid,Scaffold,1760261,74,38681057,0,0,0,0,0,0,0,0
GCA_902805465.1_AT,327061,Annulohypoxylon truncatum,CBS 140778,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Hypoxylaceae,Annulohypoxylon,Annulohypoxylon truncatum,2020-06-05,100x,,,haploid,Contig,,,38511861,0,0,0,0,0,0,0,0
GCA_014826065.1_ASM1482606v1,249478,Anthracocystis panici-leucophaei,SPL10,Basidiomycota,Ustilaginomycotina,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Anthracocystis,Anthracocystis panici-leucophaei,2020-09-30,32.0x,Canu v. 1.8; Pilon v. 1.23,Illumina MiSeq; Oxford Nanopore MiniION,haploid,Complete Genome,,,18915934,0,0,0,0,0,0,0,0
GCA_001599015.1_JCM_9580_assembly_v001,82514,Apiotrichum domesticum,JCM 9580,Basidiomycota,Agaricomycotina,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum domesticum,2016-03-01,271x,ALLPATHS-LG v. 52155,HiSeq 2500,haploid,Scaffold,3306260,28,24510922,0,0,0,0,0,0,0,0
GCA_001600295.1_JCM_1599_assembly_v001,82513,Apiotrichum brassicae,JCM 1599,Basidiomycota,Agaricomycotina,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum brassicae,2016-03-01,209x,ALLPATHS-LG v. 52155,HiSeq 2500,haploid,Scaffold,2410059,16,23647732,0,0,0,0,0,0,0,0
GCA_007674295.1_ASM767429v1,278021,Antonospora locustae,CLX,Microsporidia,,,,,,Antonospora,Antonospora locustae,2019-08-01,198.0x,Celera Assembler v. 8.3rc2,PacBio,haploid,Chromosome,183675,18,3171376,0,0,0,0,0,0,0,0
GCA_001600335.1_JCM_10018_assembly_v001,82516,Apiotrichum gracile,JCM 10018,Basidiomycota,Agaricomycotina,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum gracile,2016-03-01,231x,ALLPATHS-LG v. 52155,HiSeq 2500,haploid,Scaffold,4554691,17,24114851,0,0,0,0,0,0,0,0
GCA_000696995.1_ApoEleB7760-1.0,90269,Apophysomyces elegans,B7760,Mucoromycota,Mucoromycotina,Mucoromycetes,,Mucorales,Mucoraceae,Apophysomyces,Apophysomyces elegans,2014-06-02,53.91x,MaSuRCA v. 1.9.2,Illumina HiSeq,haploid,Contig,,,38467560,0,0,0,0,0,0,0,0
GCA_015345905.1_ASM1534590v1,2592879,Aotearoamyces nothofagi,ICMP 21868,Ascomycota,Pezizomycotina,Leotiomycetes,,Leotiales,Tympanidaceae,Aotearoamyces,Aotearoamyces nothofagi,2020-11-10,98.0x,SPAdes v. 3.14.0,Illumina NovaSeq,haploid,Scaffold,827040,288,26044277,0,0,0,0,0,0,0,0
GCA_001983365.1_ASM198336v1,87325,Amanita bisporigera,Ingham01,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita bisporigera,2017-02-02,39.0x,Velvet v. 1.2.10,Illumina HiSeq,haploid,Scaffold,13906,10390,75346262,0,0,0,0,0,0,0,0
GCA_003706635.1_ASM370663v1,904902,Ambrosiozyma maleeae (nom. inval.),NRRL Y-63635,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,,Ambrosiozyma,Ambrosiozyma maleeae (nom. inval.),2018-10-31,113x,SPADES v. 3.7,Illumina HiSeq 2500,haploid,Contig,,,12741838,0,0,0,0,0,0,0,0
GCA_001598995.1_JCM_9937_assembly_v001,82521,Apiotrichum montevideense,JCM 9937,Basidiomycota,Agaricomycotina,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum montevideense,2016-03-01,258x,ALLPATHS-LG v. 52155,HiSeq 2500,haploid,Scaffold,1972470,61,24872216,0,0,0,0,0,0,0,0
GCA_013177335.1_ASM1317733v1,252803,Apiotrichum mycotoxinovorans,CICC 1454,Basidiomycota,Agaricomycotina,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum mycotoxinovorans,2020-05-27,233.42x,wtbdg v. 2,Oxford Nanopore,haploid,Complete Genome,,,30749651,0,0,0,0,0,0,0,0
GCA_001600735.1_JCM_2947_assembly_v001,82520,Apiotrichum laibachii,JCM 2947,Basidiomycota,Agaricomycotina,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum laibachii,2016-03-01,178x,ALLPATHS-LG v. 52488,HiSeq 2500,haploid,Scaffold,2819049,26,30616633,0,0,0,0,0,0,0,0
GCA_001600595.1_JCM_10691_assembly_v001,105713,Apiotrichum veenhuisii,JCM 10691,Basidiomycota,Agaricomycotina,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum veenhuisii,2016-03-01,196x,ALLPATHS-LG v. 52488,HiSeq 2500,haploid,Scaffold,2551142,35,31617680,0,0,0,0,0,0,0,0
GCA_002973495.1_ASM297349v1,279327,Apiotrichum akiyoshidainum,HP2023,Basidiomycota,Agaricomycotina,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum akiyoshidainum,2018-03-06,269.0x,dnastar seqman NGEN v. 11,Illumina MiSeq,haploid,Contig,,,30042643,0,0,0,0,0,0,0,0
GCA_001600315.1_JCM_9941_assembly_v001,1105092,Apiotrichum gamsii,JCM 9941,Basidiomycota,Agaricomycotina,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum gamsii,2016-03-01,253x,ALLPATHS-LG v. 52155,HiSeq 2500,haploid,Scaffold,3284570,29,24609388,0,0,0,0,0,0,0,0
GCA_000696975.1_ApoTraB9324-1.0,679948,Apophysomyces trapeziformis,B9324,Mucoromycota,Mucoromycotina,Mucoromycetes,,Mucorales,Mucoraceae,Apophysomyces,Apophysomyces trapeziformis,2014-06-02,102.48x,MaSuRCA v. 1.9.2,Illumina HiSeq,haploid,Contig,,,35840759,0,0,0,0,0,0,0,0
GCA_002749535.1_ASM274953v1,760013,Apophysomyces variabilis,NCCPF 102052,Mucoromycota,Mucoromycotina,Mucoromycetes,,Mucorales,Mucoraceae,Apophysomyces,Apophysomyces variabilis,2017-11-03,100.0x,SOAPdenovo v. 2.3,Illumina HiSeq,haploid,Scaffold,647494,411,39322312,0,0,0,0,0,0,0,0
GCA_003988855.1_ASM398885v1,2259763,Arachnopeziza araneosa,D781,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,Arachnopezizaceae,Arachnopeziza,Arachnopeziza araneosa,2018-12-31,135.54x,A5 Miseq v. 2016,Illumina HiSeq,haploid,Scaffold,210669,1498,40453245,0,0,0,0,0,0,0,0
GCA_900157415.1_version_2,47426,Armillaria cepistipes,B5,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Physalacriaceae,Armillaria,Armillaria cepistipes,2017-09-28,75x,,,haploid,Contig,,,75519607,0,0,0,0,0,0,0,0
GCA_012064365.1_YMU_Armga_1.1,47427,Armillaria gallica,012m,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Physalacriaceae,Armillaria,Armillaria gallica,2020-04-06,80.0x,MECAT2 v. 20190314; Purge Haplotigs v. 1.1.0,PacBio Sequel; Illumina HiSeq,haploid,Contig,,,87305441,0,0,0,0,0,0,0,0
GCA_001679825.1_ASM167982v1,108572,Armillaria fuscipes,CMW2740,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Physalacriaceae,Armillaria,Armillaria fuscipes,2016-07-05,37.0x,Velvet v. 2.2.5; MIRA v. 2013; CLC Genomics Workbench v. 5.5.1; SSpace v. 2.0,PacBio; Illumina HiSeq,haploid,Scaffold,5422,24403,52984320,0,0,0,0,0,0,0,0
GCA_002989075.1_artRad1.0,39680,Arthonia radiata,EZ20314,Ascomycota,Pezizomycotina,Arthoniomycetes,,Arthoniales,Arthoniaceae,Arthonia,Arthonia radiata,2018-03-09,210.0x,Allpaths-LG v. 2016,Illumina,haploid,Scaffold,2247352,17,33501807,0,0,0,0,0,0,0,0
GCA_006508115.1_ASM650811v1,1337666,Arthrinium malaysianum,STlab-iicb,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Apiosporaceae,Arthrinium,Arthrinium malaysianum,2019-06-28,250.0x,SPAdes v. 3.11.1,Oxford Nanopore MiniION; Illumina MiSeq,haploid,Scaffold,2429633,43,46110019,0,0,0,0,0,0,0,0
GCA_003415625.1_ASM341562v1,1634478,Aquanectria penicillioides,NNIBRFG19,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Aquanectria,Aquanectria penicillioides,2018-08-22,341.72x,CANU v. 1.6,PacBio,haploid,Scaffold,4932896,13,53763490,0,0,0,0,0,0,0,0
GCA_003614865.1_ASM361486v1,1758292,Arthrocladium fulminans,CBS 136243,Ascomycota,Pezizomycotina,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,Trichomeriaceae,Arthrocladium,Arthrocladium fulminans,2018-10-05,54.0x,SPAdes v. 3.10.0,Illumina HiSeq,haploid,Scaffold,2259535,27,27195275,0,0,0,0,0,0,0,0
GCA_006503535.1_ASM650353v1,112178,Arthrinium phaeospermum,M.B.Ellis,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Apiosporaceae,Arthrinium,Arthrinium phaeospermum,2019-06-28,120.0x,Celera Assembler v. 1.0,PacBio Sequel,haploid,Contig,,,48449939,0,0,0,0,0,0,0,0
GCA_003415645.1_ASM341564v1,253309,Articulospora tetracladia,NNIBRFG329,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,Discinellaceae,Articulospora,Articulospora tetracladia,2018-08-22,428.533x,CANU v. 1.6,PacBio,haploid,Scaffold,3973648,20,41846809,0,0,0,0,0,0,0,0
GCA_019976485.1_ASM1997648v1,1337662,Arthrinium pterospermum,CBS 123185,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Apiosporaceae,Arthrinium,Arthrinium pterospermum,2021-09-14,125.0x,Miniasm v. 0.3,Oxford Nanopore MinION,haploid,Contig,,,44521400,0,0,0,0,0,0,0,0
GCA_004335285.1_ASM433528v1,372025,Ascochyta fabae,247/15,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Didymellaceae,Ascochyta,Ascochyta fabae,2019-03-08,56.0x,SPAdes v. 3.11.1,Illumina NextSeq,haploid,Contig,,,44368764,0,0,0,0,0,0,0,0
GCA_004151165.1_ASM415116v1,2654375,Ascochyta koolunga,PIN-15-415,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Didymellaceae,Ascochyta,Ascochyta koolunga,2019-02-08,140.0x,SPAdes v. 3.11.1,Illumina NextSeq,haploid,Contig,,,50537364,0,0,0,0,0,0,0,0
